Ben,27,3,13,8,4,1,0,6,7,0,1,3,5,0.481,0.548,0.704,1.252
Brandon,24,4,8,8,0,0,0,4,6,0,0,15,4,0.333,0.429,0.333,0.762
Brian,25,2,20,14,5,0,1,18,13,0,0,0,6,0.800,0.815,1.120,1.935
Chris,21,7,6,5,1,0,0,3,6,0,1,14,6,0.286,0.483,0.333,0.816
Darren,14,2,2,2,0,0,0,2,2,0,0,4,1,0.143,0.250,0.143,0.393
David,18,1,2,2,0,0,0,1,1,0,0,11,0,0.111,0.158,0.111,0.269
Derek,3,0,1,0,1,0,0,1,1,0,0,0,0,0.333,0.333,0.667,1.000
Gary,21,8,10,8,2,0,0,2,9,0,1,3,3,0.476,0.633,0.571,1.205
George,17,4,5,5,0,0,0,4,6,0,0,9,0,0.294,0.429,0.294,0.723
Ken,28,1,13,13,0,0,0,8,8,1,0,4,5,0.464,0.467,0.464,0.931
Nick E.,18,3,13,12,0,1,0,3,10,0,1,2,4,0.722,0.773,0.833,1.606
Nick W.,22,5,8,6,1,1,0,5,7,1,1,2,5,0.364,0.483,0.500,0.983
Owen,15,6,10,7,2,1,0,3,4,0,2,0,8,0.667,0.783,0.933,1.716
Tim L.,15,4,7,5,2,0,0,1,5,1,2,3,4,0.467,0.591,0.600,1.191
Tim W.,25,2,8,4,4,0,0,3,6,0,2,10,7,0.320,0.414,0.480,0.894
